file,category,super_category,target,transcription,processed,is_hallucination,is_looping,boh_matches,char_count,word_count
1-100032-A-0.wav,dog,animals,0,You,,True,False,['you'],3,1
1-100038-A-14.wav,chirping_birds,natural,14,,,False,False,[],0,0
1-100210-A-36.wav,vacuum_cleaner,interior,36,Yeah.,Yeah.,True,False,[],5,1
1-100210-B-36.wav,vacuum_cleaner,interior,36,.,.,True,False,[],1,1
1-101296-A-19.wav,thunderstorm,natural,19,,,False,False,[],0,0
1-101296-B-19.wav,thunderstorm,natural,19,Thank you.,,True,False,"['thank you', 'you']",10,2
1-101336-A-30.wav,door_knock,interior,30,Thank you.,,True,False,"['thank you', 'you']",10,2
1-101404-A-34.wav,can_opening,interior,34,,,False,False,[],0,0
1-103298-A-9.wav,crow,animals,9,.,.,True,False,[],1,1
1-103995-A-30.wav,door_knock,interior,30,,,False,False,[],0,0
1-103999-A-30.wav,door_knock,interior,30,,,False,False,[],0,0
1-104089-A-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-104089-B-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-105224-A-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-110389-A-0.wav,dog,animals,0,,,False,False,[],0,0
1-110537-A-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-115521-A-19.wav,thunderstorm,natural,19,Thank you.,,True,False,"['thank you', 'you']",10,2
1-115545-A-48.wav,fireworks,exterior,48,Thank you.,,True,False,"['thank you', 'you']",10,2
1-115545-B-48.wav,fireworks,exterior,48,BANG!,BANG!,True,False,[],5,1
1-115545-C-48.wav,fireworks,exterior,48,you,,True,False,['you'],3,1
1-115546-A-48.wav,fireworks,exterior,48,Thank you.,,True,False,"['thank you', 'you']",10,2
1-115920-A-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-115920-B-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-115921-A-22.wav,clapping,human_non_speech,22,Thank you.,,True,False,"['thank you', 'you']",10,2
1-116765-A-41.wav,chainsaw,exterior,41,Oh,Oh,True,False,[],2,1
1-11687-A-47.wav,airplane,exterior,47,Thanks for watching!,!,True,False,['thanks for watching'],20,3
1-118206-A-31.wav,mouse_click,interior,31,Thank you.,,True,False,"['thank you', 'you']",10,2
1-118559-A-17.wav,pouring_water,natural,17,Thank you.,,True,False,"['thank you', 'you']",10,2
1-119125-A-45.wav,train,exterior,45,,,False,False,[],0,0
1-121951-A-8.wav,sheep,animals,8,,,False,False,[],0,0
1-12653-A-15.wav,water_drops,natural,15,Thank you.,,True,False,"['thank you', 'you']",10,2
1-12654-A-15.wav,water_drops,natural,15,Thank you.,,True,False,"['thank you', 'you']",10,2
1-12654-B-15.wav,water_drops,natural,15,Thank you.,,True,False,"['thank you', 'you']",10,2
1-13571-A-46.wav,church_bells,exterior,46,,,False,False,[],0,0
